Dates,CURRENT_CONTRACT_MONTH_YR,LAST_PRICE,PX_BID,PX_ASK,PX_LAST,Maturity
2009-12-01,,29.0,28.5,29.95,29.0,2010-01-20
2009-12-02,,29.0,28.7,29.5,29.0,2010-01-20
2009-12-03,,29.1,28.55,29.65,29.1,2010-01-20
2009-12-04,,28.7,28.45,29.15,28.7,2010-01-20
2009-12-07,,28.6,28.15,29.0,28.6,2010-01-20
2009-12-08,,29.0,28.9,29.1,29.0,2010-01-20
2009-12-09,,29.4,29.2,29.55,29.4,2010-01-20
2009-12-10,,29.3,28.85,29.7,29.3,2010-01-20
2009-12-11,,29.1,28.85,29.45,29.1,2010-01-20
2009-12-14,,28.5,28.1,28.8,28.5,2010-01-20
2009-12-15,,28.3,28.05,28.5,28.3,2010-01-20
2009-12-16,,27.4,27.1,27.7,27.4,2010-01-20
2009-12-17,,27.6,27.35,27.9,27.6,2010-01-20
2009-12-18,,27.9,27.85,28.0,27.9,2010-01-20
2009-12-21,,26.9,26.85,26.9,26.9,2010-01-20
2009-12-22,,25.5,25.05,25.9,25.5,2010-01-20
2009-12-23,,25.0,24.55,25.4,25.0,2010-01-20
2009-12-28,,24.7,24.25,25.05,24.7,2010-01-20
2009-12-29,,26.6,26.3,26.9,26.6,2010-02-17
2009-12-30,,26.5,25.95,27.25,26.5,2010-02-17
2010-01-04,,26.6,26.1,27.0,26.6,2010-02-17
2010-01-05,,26.1,25.7,26.45,26.1,2010-02-17
2010-01-06,,25.5,25.2,25.85,25.5,2010-02-17
2010-01-07,,25.6,25.25,25.95,25.6,2010-02-17
2010-01-08,,24.9,24.6,25.25,24.9,2010-02-17
2010-01-11,,25.3,25.05,25.45,25.3,2010-02-17
2010-01-12,,25.2,24.75,25.7,25.2,2010-02-17
2010-01-13,,25.0,24.6,25.6,25.0,2010-02-17
2010-01-14,,24.3,23.85,24.75,24.3,2010-02-17
2010-01-15,,24.7,24.35,25.25,24.7,2010-02-17
2010-01-18,,24.3,23.85,24.7,24.3,2010-02-17
2010-01-19,,23.1,19.8,24.0,23.1,2010-02-17
2010-01-20,,24.5,23.8,28.8,24.5,2010-02-17
2010-01-21,,24.7,24.5,25.25,24.7,2010-02-17
2010-01-22,,26.7,25.0,28.0,26.7,2010-02-17
2010-01-25,,26.5,25.9,26.95,26.5,2010-02-17
2010-01-26,,25.5,25.05,25.7,25.5,2010-02-17
2010-01-27,,26.5,26.15,26.8,26.5,2010-02-17
