Dates,POS,CON,INDICATOR,RETURN,CUM_RETURN
2009-12-03,S,2010-01-20,S,-0.005084745762711895,-0.005084745762711895
2009-12-04,S,2010-01-20,S,0.016863406408094472,0.011692914511104213
2009-12-07,S,2010-01-20,S,0.005145797598627766,0.016898881481144157
2009-12-08,S,2010-01-20,S,-0.0034482758620690834,0.013392333613967633
2009-12-09,S,2010-01-20,S,-0.015463917525773141,-0.002278681854289588
2009-12-10,S,2010-01-20,S,-0.0050761421319796,-0.0073432570733033
2009-12-11,S,2010-01-20,S,0.008417508417508435,0.0010124394159787276
2009-12-14,S,2010-01-20,S,0.022071307300509324,0.023106092577961368
2009-12-15,S,2010-01-20,S,0.01041666666666674,0.033763447708981875
2009-12-16,S,2010-01-20,S,0.028070175438596467,0.06278136904818155
2009-12-17,S,2010-01-20,S,-0.0072202166064980755,0.055107857358303036
2009-12-18,S,2010-01-20,S,-0.0035842293906811484,0.051326108765620715
2009-12-21,S,2010-01-20,S,0.03928571428571437,0.09262820589569887
2009-12-22,S,2010-01-20,S,0.03717472118959109,0.13324635481375458
2009-12-23,S,2010-01-20,S,0.019305019305019266,0.15512369757077682
2009-12-28,S,2010-01-20,S,0.013779527559054983,0.17104075639557093
2009-12-29,S,2010-01-20,S,0.021956087824351322,0.19675223008888665
2009-12-30,S,2010-02-17,S,-0.12139917695473246,0.0514674943373552
2010-01-04,S,2010-02-17,S,0.00917431192660545,0.06111398511109245
2010-01-05,S,2010-02-17,S,0.020370370370370372,0.08272926999298513
2010-01-06,S,2010-02-17,S,0.022684310018903475,0.10729023642004698
2010-01-07,S,2010-02-17,S,-0.003868471953578201,0.10300671519598503
2010-01-08,S,2010-02-17,S,0.026974951830443183,0.1327602682070521
2010-01-11,S,2010-02-17,S,-0.007920792079207928,0.12378790964699626
2010-01-12,S,2010-02-17,S,-0.00982318271119853,0.11274873568189792
2010-01-13,S,2010-02-17,S,0.0038910505836574627,0.11707849729933728
2010-01-14,S,2010-02-17,S,0.033203125,0.15416899427997932
2010-01-15,S,2010-02-17,S,-0.02020202020202011,0.1308524489409899
2010-01-18,S,2010-02-17,S,0.0217821782178218,0.15548487852188275
2010-01-19,S,2010-02-17,S,0.028340080971659853,0.18823141354072148
2010-01-20,S,2010-02-17,S,-0.19999999999999996,-0.04941486916742277
2010-01-21,S,2010-02-17,S,0.12326388888888895,0.06775795077895386
2010-01-22,S,2010-02-17,S,-0.10891089108910901,-0.04853251910786305
2010-01-25,L,2010-02-17,L,-0.07500000000000007,-0.11989258017477333
2010-01-26,S,2010-02-17,S,0.007722007722007707,-0.11309638388268661
2010-01-27,S,2010-02-17,S,-0.04280155642023353,-0.151057239047241
2010-01-28,L,2010-02-17,L,0.0,-0.151057239047241
2010-01-29,L,2010-03-17,L,-0.05797101449275366,-0.20027131214595173
2010-02-01,L,2010-03-17,L,-0.01538461538461533,-0.2125748304206293
2010-02-02,L,2010-03-17,L,-0.029296875,-0.23564392718564997
2010-02-03,L,2010-03-17,L,-0.002012072434607659,-0.23718186696998467
2010-02-04,L,2010-03-17,L,0.0625,-0.18950573365560874
2010-02-05,L,2010-03-17,L,0.0436432637571158,-0.1541331186159104
2010-02-08,L,2010-03-17,L,0.005454545454545379,-0.1495192992629063
2010-02-09,L,2010-03-17,L,-0.012658227848101222,-0.16028487775324918
2010-02-10,L,2010-03-17,L,0.001831501831501825,-0.15874693796891448
2010-02-11,L,2010-03-17,L,0.001828153564899404,-0.15720899818457978
2010-02-12,L,2010-03-17,L,-0.014598540145985384,-0.16951251645925747
2010-02-15,L,2010-03-17,L,0.007407407407407307,-0.16336075732191868
2010-02-16,L,2010-03-17,L,-0.02757352941176472,-0.18642985408693935
2010-02-17,L,2010-03-17,L,-0.03591682419659736,-0.2156507099892988
2010-02-18,L,2010-03-17,L,-0.02352941176470591,-0.23410598740131527
2010-02-19,L,2010-03-17,L,0.004016064257028162,-0.23103010783264577
2010-02-22,L,2010-03-17,L,-0.03799999999999992,-0.2602509637350052
2010-02-23,S,2010-03-17,S,-0.0790020790020789,-0.318692675539724
2010-02-24,L,2010-03-17,L,-0.038535645472061675,-0.34494729305264415
2010-02-25,S,2010-03-17,S,-0.03206412825651306,-0.36595098706298024
