INDEX,POS,CON,INDICATOR,RETURN,CUM_RETURN
2005-01-04,S,2005-02-16,S,-0.018641810918775148,-0.018641810918775148
2005-01-05,S,2005-02-16,S,0.013071895424836666,-0.005813599296798366
2005-01-06,S,2005-02-16,S,0.01986754966887405,0.013938448399291703
2005-01-07,S,2005-02-16,S,0.009459459459459474,0.023529758046312077
2005-01-10,L,2005-02-16,L,-0.015006821282401162,0.008169829890091851
2005-01-11,L,2005-02-16,L,0.0076177285318559385,0.015849793968201853
2005-01-12,L,2005-02-16,L,-0.029553264604811114,-0.014171883791683215
2005-01-13,S,2005-02-16,S,-0.012747875354107707,-0.026739097737681683
2005-01-14,S,2005-02-16,S,0.013986013986014068,-0.013127057146600118
2005-01-18,S,2005-02-16,S,0.02765957446808498,0.014169428506791704
2005-01-19,S,2005-02-16,S,-0.010211524434719177,0.003813212606649463
2005-01-20,L,2005-02-16,L,0.0,0.003813212606649463
2005-01-21,L,2005-02-16,L,0.02382671480144416,0.027730783737349496
2005-01-24,L,2005-02-16,L,-0.008462623413258097,0.019033485144367646
2005-01-25,L,2005-02-16,L,-0.005689900426742556,0.013235286082379671
2005-01-26,L,2005-02-16,L,-0.025751072961373467,-0.012856609696565768
2005-01-27,L,2005-02-16,L,-0.008810572687224627,-0.021553908289547508
2005-01-28,L,2005-02-16,L,-0.016296296296296364,-0.03749895571001416
2005-01-31,L,2005-03-16,L,-0.024682651622002783,-0.0612560336720378
2005-02-01,L,2005-03-16,L,-0.033984092552422296,-0.09315839550675531
2005-02-02,L,2005-03-16,L,-0.04116766467065858,-0.1304909465899352
2005-02-03,L,2005-03-16,L,-0.011709601873536313,-0.14067255143080248
2005-02-04,L,2005-03-16,L,-0.04028436018957349,-0.17529000788975124
2005-02-07,L,2005-03-16,L,-0.0008230452674896638,-0.17596878154580897
2005-02-08,L,2005-03-16,L,0.008237232289950658,-0.16918104498523068
2005-02-09,L,2005-03-16,L,0.0008169934640522847,-0.16850227132917284
2005-02-10,L,2005-03-16,L,-0.01632653061224487,-0.1820777444503292
2005-02-11,L,2005-03-16,L,-0.027385892116182586,-0.20447727510023717
2005-02-14,L,2005-03-16,L,0.016211604095563104,-0.19158057563513864
2005-02-15,L,2005-03-16,L,0.0033585222502099388,-0.1888654810109074
2005-02-16,L,2005-03-16,L,-0.007531380753138084,-0.19497444391542773
2005-02-17,L,2005-03-16,L,0.010118043844856706,-0.18682916004273387
2005-02-18,L,2005-03-16,L,0.0025041736227044975,-0.18479283907456046
2005-02-22,L,2005-03-16,L,0.03497085761865115,-0.15628434552013204
2005-02-23,L,2005-03-16,L,-0.0016090104585679832,-0.15764189283224772
2005-02-24,L,2005-03-16,L,-0.019339242546333568,-0.17393246057763534
2005-02-25,L,2005-03-16,L,-0.01396877567789645,-0.18547161273061818
2005-03-31,L,2005-05-18,L,,
2005-04-01,L,2005-05-18,L,0.01724137931034475,-0.17142801984666334
2005-04-04,L,2005-05-18,L,0.013559322033898313,-0.16019314553949948
2005-04-05,L,2005-05-18,L,-0.011371237458194017,-0.1697427887005888
2005-04-06,L,2005-05-18,L,-0.031799729364005325,-0.19614474332242382
2005-04-07,L,2005-05-18,L,-0.02096436058700213,-0.21299705478316966
2005-04-08,L,2005-05-18,L,-0.0049964311206281975,-0.2169292607906771
2005-04-11,L,2005-05-18,L,-0.0028694404591104172,-0.21917623565210986
2005-04-12,L,2005-05-18,L,-0.028057553956834624,-0.24108424055107947
2005-04-13,S,2005-05-18,S,-0.050333086602516675,-0.2792828131954367
2005-04-14,S,2005-05-18,S,-0.05355884425651869,-0.3178835927564986
2005-04-15,L,2005-05-18,L,0.03678929765886285,-0.29278900921242335
2005-04-18,L,2005-05-18,L,0.0,-0.29278900921242335
2005-04-19,L,2005-05-18,L,-0.03483870967741931,-0.3174273276011518
2005-04-20,L,2005-05-18,L,0.021390374331550666,-0.30282684263005355
2005-04-21,L,2005-05-18,L,-0.0490837696335078,-0.33704672928106527
2005-04-22,L,2005-05-18,L,0.032346868547832086,-0.31560226697976457
2005-04-25,L,2005-05-18,L,-0.04066666666666663,-0.34343444145592084
2005-04-26,L,2005-05-18,L,0.022932592077831826,-0.3283776913294757
2005-04-27,L,2005-05-18,L,-0.0027173913043478937,-0.330202751950863
2005-04-28,L,2005-05-18,L,0.05585831062670299,-0.29278900921242346
2005-04-29,L,2005-06-15,L,-0.02149178255372941,-0.3079882340460376
2005-05-02,L,2005-06-15,L,-0.030361757105943243,-0.32899892719838664
2005-05-03,L,2005-06-15,L,-0.013990672884743427,-0.33838668371326597
2005-05-04,L,2005-06-15,L,-0.03378378378378377,-0.36073848493916916
2005-05-05,L,2005-06-15,L,-0.013986013986014068,-0.3696792054295305
2005-05-06,L,2005-06-15,L,0.0028368794326241176,-0.3678910613314582
2005-05-09,L,2005-06-15,L,-0.011315417256011373,-0.37504363772374727
2005-05-10,L,2005-06-15,L,0.04005722460658068,-0.3500096203507358
2005-05-11,L,2005-06-15,L,0.003438789546079901,-0.3477744402281454
2005-05-12,L,2005-06-15,L,0.04797806716929398,-0.316481918511881
2005-05-13,L,2005-06-15,L,0.024852844996730017,-0.2994945495801945
2005-05-16,L,2005-06-15,L,-0.015315890236120011,-0.3102234141686281
2005-05-17,L,2005-06-15,L,-0.03434867141931297,-0.3339163234680854
2005-05-18,L,2005-06-15,L,-0.04093959731543628,-0.3611855209636873
2005-05-19,L,2005-06-15,L,-0.020293911826452016,-0.37414956567471114
2005-05-20,L,2005-06-15,L,-0.015000000000000013,-0.38353732218959047
2005-05-23,L,2005-06-15,L,-0.02102973168963007,-0.3965013669006142
2005-05-24,L,2005-06-15,L,-0.002962962962962945,-0.3982895109986865
2005-05-25,L,2005-06-15,L,0.005200594353640398,-0.3951602588270601
2005-05-26,L,2005-06-15,L,-0.033998521803399795,-0.415723915954891
2005-05-27,L,2005-06-15,L,0.005355776587605332,-0.4125946637832645
2005-06-30,L,2005-08-17,L,,
2005-07-01,L,2005-08-17,L,-0.00142348754448407,-0.4134308279629325
2005-07-05,S,2005-08-17,S,0.01140413399857454,-0.4067415145255888
2005-07-06,S,2005-08-17,S,-0.009372746935832899,-0.412301976177476
2005-07-07,S,2005-08-17,S,-0.008571428571428452,-0.4173393878102404
2005-07-08,S,2005-08-17,S,0.028328611898016942,-0.4008334214592558
2005-07-11,S,2005-08-17,S,0.012390670553935834,-0.39340934577762854
2005-07-12,S,2005-08-17,S,0.0073800738007381295,-0.38893266198262944
2005-07-13,S,2005-08-17,S,0.018587360594795488,-0.37757453302319877
2005-07-14,S,2005-08-17,S,0.011363636363636243,-0.3705015163530079
2005-07-15,S,2005-08-17,S,0.011494252873563204,-0.36326590159844474
2005-07-18,S,2005-08-17,S,0.0007751937984495916,-0.3627723092741024
2005-07-19,S,2005-08-17,S,0.014740108611326685,-0.3533795039026577
2005-07-20,S,2005-08-17,S,0.011811023622047112,-0.34574225394875213
2005-07-21,S,2005-08-17,S,0.0023904382470120167,-0.3441782912091873
2005-07-22,S,2005-08-17,S,0.016773162939297093,-0.3331780868285108
2005-07-25,S,2005-08-17,S,-0.006498781478472715,-0.33751161672726937
2005-07-26,S,2005-08-17,S,-0.006456820016142117,-0.3417891849808463
2005-07-27,S,2005-08-17,S,0.012830793905372895,-0.333343817667048
2005-07-28,S,2005-08-17,S,0.010560519902518384,-0.326303581785384
2005-08-16,L,2005-09-12,L,,
2005-08-17,L,2005-09-12,L,0.0,-0.326303581785384
2005-08-19,L,2005-09-12,L,-0.003656307129798808,-0.32876682280262204
2005-08-23,L,2005-09-12,L,0.003669724770642091,-0.326303581785384
2005-08-24,L,2005-09-12,L,-0.000914076782449702,-0.32691939203969345
2005-08-31,L,2005-10-19,L,0.28193430656934293,-0.1371548775691327
2005-09-01,L,2005-10-19,L,0.003558718861209842,-0.13408425435763505
2005-09-02,L,2005-10-19,L,-0.0035460992907800915,-0.1371548775691328
2005-09-06,L,2005-10-19,L,-0.002135231316726105,-0.1389972514960316
2005-09-07,L,2005-10-19,L,-0.012838801711840153,-0.15005149505742343
2005-09-08,L,2005-10-19,L,0.0007225433526012459,-0.14943737041512384
2005-09-09,L,2005-10-19,L,-0.016606498194945862,-0.16356223718801344
2005-09-12,L,2005-10-19,L,-0.0051395007342143195,-0.16786110968411028
2005-09-13,L,2005-10-19,L,0.00959409594095928,-0.1598774893342162
2005-09-14,S,2005-10-19,S,-0.013157894736842035,-0.17093173289560804
2005-09-15,L,2005-10-19,L,-0.017316017316017285,-0.1852878933649481
2005-09-16,L,2005-10-19,L,-0.014684287812041119,-0.1972513604227315
2005-09-19,L,2005-10-19,L,0.007451564828613977,-0.19126962689383986
2005-09-20,S,2005-10-19,S,-0.014053254437869978,-0.20263492059873423
2005-09-21,S,2005-10-19,S,-0.026258205689277947,-0.2235722968631001
2005-09-22,S,2005-10-19,S,-0.014214641080312562,-0.23460893798800264
2005-09-23,L,2005-10-19,L,-0.02592852137351076,-0.2544543964984748
2005-09-26,S,2005-10-19,S,0.0057553956834532904,-0.25016348655026455
2005-09-27,S,2005-10-19,S,0.00940665701881338,-0.24311003164806
2005-09-28,L,2005-10-19,L,-0.024105186267348477,-0.26135500531907097
2005-09-29,S,2005-10-19,S,0.008982035928143617,-0.2547204694387034
2005-09-30,L,2005-11-16,L,-0.01543859649122814,-0.26622653938421115
2005-10-03,L,2005-11-16,L,-0.00641482537419813,-0.2709335679982825
2005-10-04,S,2005-11-16,S,-0.007890961262553953,-0.2766866029710364
2005-10-05,S,2005-11-16,S,-0.021352313167259718,-0.29213101714247336
2005-10-06,L,2005-11-16,L,0.02996515679442502,-0.2709196120812374
2005-10-07,L,2005-11-16,L,0.0013531799729364913,-0.2699330351016449
2005-10-10,L,2005-11-16,L,0.018918918918918948,-0.25612095738735163
2005-10-11,L,2005-11-16,L,-0.003978779840848823,-0.25908068832612874
2005-10-12,L,2005-11-16,L,0.011984021304926706,-0.2502014955097974
2005-10-13,L,2005-11-16,L,0.0,-0.2502014955097974
2005-10-14,L,2005-11-16,L,-0.03157894736842093,-0.27387934302001427
2005-10-17,L,2005-11-16,L,0.0020380434782607537,-0.27239947755062577
2005-10-18,L,2005-11-16,L,0.0006779661016949046,-0.27190618906082964
2005-10-19,L,2005-11-16,L,-0.013550135501354976,-0.2817719588567533
2005-10-20,L,2005-11-16,L,0.037087912087911956,-0.2551343804077594
2005-10-21,L,2005-11-16,L,-0.00596026490066226,-0.2595739768159251
2005-10-24,L,2005-11-16,L,-0.025982678214523713,-0.27881222791797633
2005-10-25,L,2005-11-16,L,-0.008207934336525224,-0.28473168979553054
2005-10-26,L,2005-11-16,L,-0.013103448275862073,-0.2941041711016581
2005-10-27,L,2005-11-16,L,0.04122990915443747,-0.26500015020368317
2005-10-28,L,2005-11-16,L,-0.03221476510067112,-0.2886779977139001
2005-10-31,L,2005-12-21,L,-0.034782608695652195,-0.31341963257602534
2005-11-01,L,2005-12-21,L,0.0034650034650034467,-0.31104062922389797
2005-11-02,L,2005-12-21,L,-0.026243093922652005,-0.3291210547000665
2005-11-03,L,2005-12-21,L,-0.03546099290780147,-0.35291108822134076
2005-11-04,L,2005-12-21,L,-0.010294117647058787,-0.3595722976072975
2005-11-07,L,2005-12-21,L,-0.0014858841010402246,-0.3605238989481485
2005-11-08,L,2005-12-21,L,0.0044642857142858094,-0.3576690949255955
2005-11-09,L,2005-12-21,L,-0.01851851851851849,-0.3695641116862326
2005-11-10,L,2005-12-21,L,-0.018867924528301883,-0.3814591284468697
2005-11-11,L,2005-12-21,L,-0.030000000000000027,-0.4000153545934636
2005-11-14,L,2005-12-21,L,0.012688342585249757,-0.39240254386665585
2005-11-15,L,2005-12-21,L,-0.005481597494126911,-0.39573314855963426
2005-11-16,L,2005-12-21,L,0.0015748031496063408,-0.3947815472187832
2005-11-17,L,2005-12-21,L,-0.02672955974842761,-0.41095877001324965
2005-11-18,L,2005-12-21,L,-0.03473344103392584,-0.43141819884154564
2005-11-21,L,2005-12-21,L,0.006694560669456173,-0.4276117934781417
2005-11-22,L,2005-12-21,L,-0.007481296758104716,-0.43189399951197105
2005-11-23,L,2005-12-21,L,-0.00335008375209378,-0.433797202193673
2005-11-25,L,2005-12-21,L,0.001680672268907557,-0.4328456008528221
2005-11-28,L,2005-12-21,L,0.003355704697986628,-0.4309423981711201
2005-11-29,L,2005-12-21,L,0.0050167224080266415,-0.42808759414856723
2005-11-30,L,2006-01-18,L,-0.013533834586466287,-0.43582776204730844
2005-12-01,L,2006-01-18,L,-0.006859756097560954,-0.43969784599667905
2005-12-02,L,2006-01-18,L,-0.004604758250191798,-0.44227790196292605
2005-12-05,L,2006-01-18,L,-0.0023130300693909867,-0.44356792994604965
2005-12-06,S,2006-01-18,S,-0.012364760432766575,-0.45044807918937513
2005-12-07,L,2006-01-18,L,-0.01984732824427482,-0.4613552165489754
2005-12-08,L,2006-01-18,L,-0.0015576323987538387,-0.4621942271150984
2005-12-09,L,2006-01-18,L,-0.004680187207488307,-0.46471125881346764
2005-12-12,L,2006-01-18,L,0.003918495297805746,-0.46261373239815984
2005-12-13,L,2006-01-18,L,0.0007806401249024209,-0.4621942271150983
2005-12-14,L,2006-01-18,L,-0.007800312012480437,-0.46638927994571366
2005-12-15,S,2006-01-18,S,-0.00943396226415083,-0.4714233433424522
2005-12-16,S,2006-01-18,S,-0.013239875389408073,-0.4784216324103481
2005-12-19,S,2006-01-18,S,0.004611837048424272,-0.47601619797104144
2005-12-20,S,2006-01-18,S,0.006949806949806958,-0.47237461170211426
2005-12-21,S,2006-01-18,S,0.02021772939346811,-0.46170722438038414
2005-12-22,S,2006-01-18,S,0.007936507936507908,-0.45743505949451424
2005-12-23,S,2006-01-18,S,0.015999999999999903,-0.4487540204464264
2005-12-27,S,2006-01-18,S,-0.016260162601625883,-0.45771736970746
2005-12-28,S,2006-01-18,S,0.01200000000000001,-0.4512099781439496
2005-12-29,S,2006-01-18,S,-0.005668016194332104,-0.45432052887511754
2005-12-30,S,2006-02-15,S,-0.006405693950177982,-0.45781598456203854
2006-01-03,S,2006-02-15,S,0.013437057991513512,-0.450530626504527
