PX_LAST,Dates
29.69,1999-01-05
25.17,1999-01-06
32.52,1999-01-07
33.23,1999-01-08
36.84,1999-01-11
37.57,1999-01-12
39.74,1999-01-13
39.14,1999-01-14
38.67,1999-01-15
38.54,1999-01-18
38.79,1999-01-19
35.55,1999-01-20
36.92,1999-01-21
39.94,1999-01-22
40.7,1999-01-25
42.75,1999-01-26
41.76,1999-01-27
39.15,1999-01-28
37.61,1999-01-29
37.03,1999-02-01
38.61,1999-02-02
39.96,1999-02-03
38.79,1999-02-04
37.81,1999-02-05
38.77,1999-02-08
39.55,1999-02-09
40.3,1999-02-10
37.83,1999-02-11
36.06,1999-02-12
37.67,1999-02-15
36.01,1999-02-16
36.69,1999-02-17
35.56,1999-02-18
33.91,1999-02-19
32.09,1999-02-22
31.26,1999-02-23
30.78,1999-02-24
31.78,1999-02-25
30.8,1999-02-26
32.46,1999-03-01
32.03,1999-03-02
31.93,1999-03-03
30.88,1999-03-04
29.26,1999-03-05
29.86,1999-03-08
28.96,1999-03-09
27.95,1999-03-10
27.06,1999-03-11
26.98,1999-03-12
27.77,1999-03-15
27.49,1999-03-16
28.16,1999-03-17
28.17,1999-03-18
26.99,1999-03-19
27.14,1999-03-22
28.84,1999-03-23
29.9,1999-03-24
28.05,1999-03-25
28.57,1999-03-26
27.32,1999-03-29
27.23,1999-03-30
25.25,1999-03-31
24.61,1999-04-01
24.61,1999-04-06
25.03,1999-04-07
24.91,1999-04-08
24.38,1999-04-09
25.29,1999-04-12
24.4,1999-04-13
25.47,1999-04-14
26.58,1999-04-15
25.74,1999-04-16
25.09,1999-04-19
26.79,1999-04-20
25.77,1999-04-21
25.25,1999-04-22
25.24,1999-04-23
25.78,1999-04-26
24.32,1999-04-27
24.47,1999-04-28
24.78,1999-04-29
23.74,1999-04-30
24.1,1999-05-03
24.47,1999-05-04
25.65,1999-05-05
26.95,1999-05-06
27.08,1999-05-07
27.31,1999-05-10
26.56,1999-05-11
27.59,1999-05-12
28.31,1999-05-14
30.53,1999-05-17
30.83,1999-05-18
28.18,1999-05-19
25.34,1999-05-20
23.45,1999-05-21
26.62,1999-05-25
26.66,1999-05-26
27.25,1999-05-27
25.57,1999-05-28
24.99,1999-05-31
25.16,1999-06-01
25.21,1999-06-02
25.64,1999-06-03
23.38,1999-06-04
23.24,1999-06-07
23.13,1999-06-08
22.64,1999-06-09
23.46,1999-06-10
22.42,1999-06-11
23.37,1999-06-14
23.09,1999-06-15
21.77,1999-06-16
20.89,1999-06-17
21.1,1999-06-18
20.65,1999-06-21
21.02,1999-06-22
22.19,1999-06-23
22.78,1999-06-24
22.33,1999-06-25
23.05,1999-06-28
23.15,1999-06-29
23.34,1999-06-30
21.63,1999-07-01
20.42,1999-07-02
19.93,1999-07-05
20.61,1999-07-06
21.32,1999-07-07
21.47,1999-07-08
20.73,1999-07-09
21.04,1999-07-12
22.48,1999-07-13
22.54,1999-07-14
20.11,1999-07-15
19.77,1999-07-16
19.92,1999-07-19
21.83,1999-07-20
24.26,1999-07-21
25.29,1999-07-22
25.62,1999-07-23
28.26,1999-07-26
27.44,1999-07-27
26.34,1999-07-28
28.0,1999-07-29
26.9,1999-07-30
28.07,1999-08-02
28.85,1999-08-03
29.65,1999-08-04
32.88,1999-08-05
32.15,1999-08-06
31.38,1999-08-09
32.7,1999-08-10
32.48,1999-08-11
29.41,1999-08-12
26.01,1999-08-13
26.97,1999-08-16
26.18,1999-08-17
26.7,1999-08-18
27.3,1999-08-19
25.81,1999-08-20
24.63,1999-08-23
24.99,1999-08-24
23.07,1999-08-25
22.78,1999-08-26
22.31,1999-08-27
23.23,1999-08-30
24.96,1999-08-31
24.47,1999-09-01
25.84,1999-09-02
23.04,1999-09-03
22.94,1999-09-06
23.04,1999-09-07
23.09,1999-09-08
22.22,1999-09-09
21.64,1999-09-10
22.72,1999-09-13
23.62,1999-09-14
24.72,1999-09-15
25.13,1999-09-16
23.84,1999-09-17
23.8,1999-09-20
25.4,1999-09-21
25.82,1999-09-22
25.03,1999-09-23
27.13,1999-09-24
26.3,1999-09-27
26.91,1999-09-28
27.85,1999-09-29
27.85,1999-09-30
27.87,1999-10-01
26.59,1999-10-04
26.32,1999-10-05
25.28,1999-10-06
23.5,1999-10-07
23.17,1999-10-08
22.68,1999-10-11
23.47,1999-10-12
24.71,1999-10-13
24.01,1999-10-14
27.18,1999-10-15
