cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
3005.0,2.0,3363.0,301.0,2000.0,2642.0,342.0,360.0,11533.0,16362.0,692.0,3470.0,5.0,429.0,17937.0,629.0,12.0,1920.0,517.0,0.0,9868.0,0.0,8976.0,4044.0,4435.0,5897.0,833.0,,0.0,0.0,18447.0,118021.0,2020-12-14
2938.0,856.0,4135.0,324.0,3657.0,3552.0,757.0,377.0,13947.0,20200.0,1194.0,4153.0,13.0,249.0,19902.0,660.0,0.0,2849.0,718.0,121.0,9071.0,0.0,11499.0,4413.0,6333.0,0.0,1744.0,0.0,0.0,0.0,21501.0,135163.0,2020-12-13
3026.0,2751.0,4396.0,424.0,6217.0,3075.0,358.0,501.0,13406.0,28438.0,1395.0,5047.0,15.0,304.0,18726.0,680.0,25.0,3303.0,1173.0,96.0,8827.0,498.0,13105.0,5080.0,6460.0,2166.0,1816.0,0.0,0.0,5111.0,21672.0,158091.0,2020-12-12
2466.0,2604.0,4620.0,403.0,5872.0,3132.0,544.0,840.0,13750.0,29875.0,1533.0,6197.0,8.0,303.0,16998.0,890.0,3.0,3066.0,0.0,106.0,8709.0,362.0,13750.0,3134.0,7067.0,3125.0,1848.0,10519.0,6051.0,5038.0,20964.0,173777.0,2020-12-11
2913.0,2708.0,4520.0,363.0,6406.0,2558.0,544.0,490.0,14595.0,23679.0,1675.0,5415.0,10.0,218.0,12755.0,712.0,27.0,3327.0,388.0,79.0,6524.0,459.0,12166.0,4097.0,7365.0,2564.0,2137.0,7955.0,8402.0,5059.0,16578.0,156688.0,2020-12-10
2531.0,2715.0,2613.0,419.0,5857.0,2150.0,284.0,361.0,13713.0,20815.0,1324.0,3221.0,10.0,214.0,14837.0,584.0,16.0,3130.0,261.0,40.0,6139.0,381.0,8310.0,2905.0,7439.0,1949.0,1648.0,9773.0,7449.0,4246.0,12281.0,137615.0,2020-12-09
2181.0,3353.0,1886.0,416.0,4237.0,2046.0,248.0,250.0,3411.0,14055.0,1250.0,2219.0,14.0,222.0,13679.0,207.0,35.0,1390.0,531.0,139.0,7055.0,951.0,4421.0,2597.0,3660.0,552.0,483.0,0.0,3778.0,9774.0,14718.0,99758.0,2020-12-08
2745.0,592.0,2899.0,270.0,2654.0,1745.0,478.0,413.0,11022.0,12332.0,903.0,3870.0,6.0,298.0,18887.0,526.0,0.0,1387.0,667.0,97.0,6769.0,0.0,9176.0,3834.0,5231.0,1269.0,1030.0,17681.0,1803.0,0.0,17271.0,125855.0,2020-12-07
3160.0,1098.0,4084.0,369.0,1773.0,2115.0,561.0,460.0,12923.0,17767.0,1383.0,6697.0,14.0,457.0,21052.0,794.0,0.0,2219.0,588.0,103.0,6520.0,0.0,12427.0,6087.0,8072.0,2070.0,1642.0,0.0,4865.0,0.0,15539.0,134839.0,2020-12-06
3634.0,2549.0,3955.0,289.0,4743.0,1603.0,470.0,316.0,11221.0,23318.0,1648.0,5525.0,14.0,263.0,24110.0,686.0,12.0,2848.0,627.0,123.0,5867.0,403.0,13236.0,4935.0,8062.0,2184.0,1784.0,0.0,7343.0,4370.0,16298.0,152436.0,2020-12-05
3783.0,2364.0,4534.0,348.0,4621.0,1605.0,450.0,560.0,12696.0,23448.0,1882.0,6212.0,15.0,162.0,23219.0,930.0,40.0,2516.0,673.0,96.0,5603.0,377.0,14863.0,3772.0,7661.0,1982.0,1783.0,8745.0,6990.0,3071.0,14878.0,159879.0,2020-12-04
