deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,SUM_DEATHS,DATE
45.0,6.0,78.0,1.0,74.0,6.0,1.0,0.0,150.0,188.0,85.0,165.0,0.0,1.0,484.0,25.0,0.0,10.0,4.0,0.0,29.0,0.0,188.0,98.0,121.0,53.0,11.0,,0.0,0.0,144.0,236042.0,2020-12-14
96.0,48.0,78.0,2.0,85.0,8.0,6.0,0.0,194.0,321.0,68.0,181.0,0.0,3.0,649.0,5.0,0.0,24.0,8.0,0.0,53.0,0.0,502.0,88.0,148.0,0.0,22.0,0.0,0.0,0.0,520.0,270326.0,2020-12-13
101.0,92.0,64.0,3.0,109.0,9.0,1.0,11.0,627.0,496.0,102.0,162.0,0.0,3.0,761.0,15.0,1.0,27.0,15.0,2.0,63.0,5.0,544.0,95.0,168.0,18.0,39.0,0.0,0.0,105.0,424.0,316182.0,2020-12-12
125.0,87.0,53.0,2.0,115.0,14.0,2.0,9.0,292.0,598.0,81.0,171.0,0.0,15.0,887.0,11.0,0.0,29.0,0.0,4.0,61.0,21.0,470.0,86.0,127.0,20.0,26.0,280.0,7.0,87.0,516.0,347554.0,2020-12-11
126.0,83.0,69.0,2.0,90.0,3.0,2.0,8.0,296.0,440.0,95.0,171.0,0.0,5.0,499.0,5.0,0.0,31.0,9.0,3.0,66.0,0.0,568.0,70.0,161.0,38.0,50.0,325.0,15.0,87.0,533.0,313376.0,2020-12-10
80.0,91.0,65.0,5.0,100.0,7.0,3.0,1.0,831.0,590.0,102.0,160.0,1.0,0.0,634.0,16.0,0.0,31.0,7.0,2.0,71.0,2.0,411.0,81.0,213.0,28.0,23.0,373.0,24.0,92.0,599.0,275230.0,2020-12-09
95.0,96.0,59.0,2.0,134.0,9.0,3.0,9.0,366.0,423.0,89.0,136.0,0.0,0.0,528.0,10.0,1.0,36.0,3.0,4.0,17.0,5.0,92.0,78.0,127.0,22.0,30.0,0.0,19.0,175.0,189.0,199516.0,2020-12-08
58.0,83.0,72.0,2.0,87.0,7.0,5.0,0.0,174.0,147.0,101.0,116.0,0.0,0.0,564.0,9.0,0.0,11.0,5.0,2.0,25.0,0.0,228.0,87.0,134.0,15.0,14.0,394.0,44.0,0.0,231.0,251710.0,2020-12-07
87.0,85.0,70.0,2.0,77.0,11.0,1.0,0.0,214.0,255.0,98.0,162.0,0.0,11.0,662.0,11.0,0.0,15.0,6.0,0.0,39.0,0.0,502.0,73.0,134.0,24.0,37.0,0.0,19.0,0.0,397.0,269678.0,2020-12-06
140.0,106.0,68.0,3.0,97.0,9.0,2.0,7.0,627.0,483.0,98.0,193.0,0.0,6.0,814.0,7.0,0.0,21.0,5.0,1.0,58.0,1.0,531.0,79.0,176.0,27.0,111.0,0.0,37.0,100.0,504.0,304872.0,2020-12-05
118.0,93.0,48.0,2.0,126.0,6.0,1.0,0.0,324.0,432.0,100.0,189.0,0.0,6.0,993.0,11.0,0.0,26.0,4.0,2.0,61.0,2.0,620.0,79.0,211.0,32.0,54.0,214.0,51.0,65.0,414.0,319758.0,2020-12-04
133.0,117.0,55.0,3.0,108.0,6.0,1.0,9.0,310.0,479.0,89.0,182.0,0.0,5.0,684.0,14.0,1.0,17.0,9.0,5.0,66.0,17.0,609.0,68.0,135.0,30.0,78.0,254.0,52.0,130.0,648.0,315534.0,2020-12-03
213.0,110.0,75.0,0.0,112.0,9.0,3.0,0.0,775.0,487.0,111.0,165.0,1.0,16.0,785.0,4.0,0.0,28.0,9.0,4.0,62.0,2.0,449.0,72.0,199.0,29.0,16.0,273.0,51.0,107.0,603.0,252234.0,2020-12-02
79.0,99.0,74.0,1.0,157.0,8.0,6.0,6.0,406.0,388.0,85.0,154.0,0.0,1.0,672.0,9.0,0.0,13.0,6.0,4.0,27.0,4.0,121.0,78.0,138.0,23.0,21.0,442.0,55.0,194.0,203.0,212234.0,2020-12-01
82.0,119.0,57.0,0.0,84.0,6.0,3.0,0.0,198.0,125.0,98.0,151.0,0.0,2.0,541.0,4.0,0.0,13.0,6.0,1.0,23.0,0.0,283.0,64.0,148.0,18.0,14.0,401.0,45.0,0.0,215.0,250096.0,2020-11-30
58.0,114.0,55.0,0.0,87.0,7.0,5.0,0.0,213.0,158.0,121.0,156.0,0.0,7.0,686.0,3.0,0.0,11.0,0.0,4.0,59.0,0.0,599.0,87.0,161.0,27.0,30.0,0.0,42.0,0.0,479.0,271532.0,2020-11-29
148.0,124.0,48.0,0.0,188.0,5.0,5.0,5.0,957.0,379.0,101.0,152.0,0.0,7.0,827.0,2.0,1.0,33.0,12.0,6.0,83.0,12.0,579.0,67.0,172.0,22.0,28.0,0.0,50.0,141.0,520.0,325254.0,2020-11-28
114.0,118.0,51.0,1.0,168.0,9.0,2.0,0.0,339.0,426.0,99.0,135.0,0.0,3.0,822.0,4.0,0.0,17.0,5.0,0.0,75.0,0.0,580.0,82.0,171.0,17.0,78.0,294.0,57.0,79.0,498.0,357832.0,2020-11-27
94.0,138.0,56.0,1.0,112.0,5.0,3.0,4.0,381.0,389.0,87.0,115.0,0.0,5.0,722.0,9.0,1.0,23.0,10.0,5.0,73.0,2.0,674.0,71.0,168.0,23.0,52.0,337.0,67.0,86.0,695.0,349592.0,2020-11-26
115.0,120.0,47.0,2.0,139.0,8.0,2.0,0.0,1005.0,410.0,101.0,106.0,0.0,6.0,853.0,13.0,5.0,17.0,7.0,3.0,90.0,3.0,540.0,85.0,196.0,16.0,35.0,369.0,68.0,150.0,608.0,318082.0,2020-11-25
94.0,139.0,45.0,0.0,164.0,5.0,4.0,9.0,500.0,249.0,84.0,117.0,0.0,0.0,630.0,9.0,0.0,6.0,4.0,4.0,54.0,5.0,156.0,74.0,130.0,22.0,27.0,537.0,54.0,213.0,479.0,271378.0,2020-11-24
44.0,135.0,49.0,1.0,101.0,3.0,1.0,0.0,214.0,90.0,103.0,91.0,0.0,0.0,562.0,0.0,0.0,12.0,2.0,3.0,21.0,0.0,330.0,73.0,131.0,27.0,6.0,512.0,57.0,0.0,125.0,312256.0,2020-11-23
58.0,138.0,47.0,0.0,74.0,3.0,0.0,0.0,253.0,138.0,108.0,111.0,0.0,4.0,692.0,7.0,0.0,17.0,6.0,2.0,48.0,0.0,574.0,62.0,160.0,30.0,13.0,0.0,51.0,0.0,340.0,339096.0,2020-11-22
79.0,165.0,57.0,2.0,147.0,5.0,1.0,1.0,1138.0,254.0,72.0,121.0,1.0,8.0,699.0,5.0,0.0,16.0,6.0,2.0,51.0,1.0,626.0,61.0,160.0,35.0,35.0,0.0,45.0,111.0,511.0,386882.0,2020-11-21
90.0,172.0,49.0,0.0,134.0,3.0,1.0,0.0,429.0,260.0,59.0,96.0,0.0,4.0,653.0,4.0,0.0,18.0,8.0,2.0,73.0,6.0,637.0,69.0,167.0,0.0,23.0,328.0,45.0,79.0,501.0,431478.0,2020-11-20
113.0,158.0,38.0,1.0,182.0,2.0,1.0,3.0,425.0,251.0,60.0,92.0,0.0,11.0,753.0,5.0,0.0,24.0,4.0,2.0,82.0,1.0,603.0,79.0,168.0,22.0,30.0,252.0,51.0,84.0,529.0,420180.0,2020-11-19
74.0,153.0,31.0,0.0,142.0,4.0,3.0,0.0,1219.0,305.0,63.0,99.0,0.0,11.0,731.0,6.0,1.0,14.0,10.0,1.0,85.0,4.0,357.0,81.0,186.0,31.0,24.0,351.0,40.0,140.0,598.0,412484.0,2020-11-18
62.0,195.0,33.0,0.0,208.0,4.0,0.0,2.0,506.0,267.0,59.0,91.0,0.0,5.0,504.0,3.0,3.0,8.0,4.0,3.0,44.0,0.0,143.0,91.0,149.0,16.0,21.0,435.0,37.0,197.0,213.0,341890.0,2020-11-17
