deaths,deaths,deaths,deaths,deaths,deaths,deaths,SUM_DEATHS,DATE
6.0,150.0,188.0,1.0,484.0,29.0,,858.0,2020-12-14
48.0,194.0,321.0,3.0,649.0,53.0,0.0,1268.0,2020-12-13
92.0,627.0,496.0,3.0,761.0,63.0,0.0,2042.0,2020-12-12
87.0,292.0,598.0,15.0,887.0,61.0,280.0,2220.0,2020-12-11
83.0,296.0,440.0,5.0,499.0,66.0,325.0,1714.0,2020-12-10
91.0,831.0,590.0,0.0,634.0,71.0,373.0,2590.0,2020-12-09
96.0,366.0,423.0,0.0,528.0,17.0,0.0,1430.0,2020-12-08
83.0,174.0,147.0,0.0,564.0,25.0,394.0,1387.0,2020-12-07
85.0,214.0,255.0,11.0,662.0,39.0,0.0,1266.0,2020-12-06
106.0,627.0,483.0,6.0,814.0,58.0,0.0,2094.0,2020-12-05
93.0,324.0,432.0,6.0,993.0,61.0,214.0,2123.0,2020-12-04
117.0,310.0,479.0,5.0,684.0,66.0,254.0,1915.0,2020-12-03
110.0,775.0,487.0,16.0,785.0,62.0,273.0,2508.0,2020-12-02
99.0,406.0,388.0,1.0,672.0,27.0,442.0,2035.0,2020-12-01
119.0,198.0,125.0,2.0,541.0,23.0,401.0,1409.0,2020-11-30
114.0,213.0,158.0,7.0,686.0,59.0,0.0,1237.0,2020-11-29
124.0,957.0,379.0,7.0,827.0,83.0,0.0,2377.0,2020-11-28
118.0,339.0,426.0,3.0,822.0,75.0,294.0,2077.0,2020-11-27
138.0,381.0,389.0,5.0,722.0,73.0,337.0,2045.0,2020-11-26
120.0,1005.0,410.0,6.0,853.0,90.0,369.0,2853.0,2020-11-25
139.0,500.0,249.0,0.0,630.0,54.0,537.0,2109.0,2020-11-24
135.0,214.0,90.0,0.0,562.0,21.0,512.0,1534.0,2020-11-23
138.0,253.0,138.0,4.0,692.0,48.0,0.0,1273.0,2020-11-22
165.0,1138.0,254.0,8.0,699.0,51.0,0.0,2315.0,2020-11-21
172.0,429.0,260.0,4.0,653.0,73.0,328.0,1919.0,2020-11-20
158.0,425.0,251.0,11.0,753.0,82.0,252.0,1932.0,2020-11-19
153.0,1219.0,305.0,11.0,731.0,85.0,351.0,2855.0,2020-11-18
195.0,506.0,267.0,5.0,504.0,44.0,435.0,1956.0,2020-11-17
192.0,302.0,62.0,1.0,546.0,43.0,484.0,1630.0,2020-11-16
175.0,354.0,107.0,6.0,544.0,85.0,0.0,1271.0,2020-11-15
183.0,932.0,178.0,7.0,550.0,53.0,0.0,1903.0,2020-11-14
173.0,425.0,218.0,0.0,636.0,89.0,308.0,1849.0,2020-11-13
196.0,328.0,215.0,2.0,623.0,74.0,356.0,1794.0,2020-11-12
218.0,1220.0,261.0,15.0,580.0,98.0,349.0,2741.0,2020-11-11
194.0,548.0,154.0,1.0,356.0,39.0,411.0,1703.0,2020-11-10
210.0,270.0,63.0,2.0,331.0,44.0,512.0,1432.0,2020-11-09
208.0,304.0,63.0,5.0,425.0,73.0,0.0,1078.0,2020-11-08
214.0,828.0,130.0,7.0,446.0,118.0,0.0,1743.0,2020-11-07
206.0,363.0,166.0,3.0,428.0,87.0,347.0,1600.0,2020-11-06
198.0,385.0,118.0,8.0,352.0,106.0,368.0,1535.0,2020-11-05
172.0,854.0,151.0,5.0,353.0,113.0,1623.0,3271.0,2020-11-04
208.0,416.0,131.0,2.0,233.0,29.0,238.0,1257.0,2020-11-03
164.0,231.0,49.0,2.0,208.0,39.0,379.0,1072.0,2020-11-02
177.0,223.0,29.0,5.0,297.0,50.0,0.0,781.0,2020-11-01
185.0,545.0,103.0,6.0,199.0,87.0,0.0,1125.0,2020-10-31
139.0,235.0,77.0,6.0,217.0,56.0,239.0,969.0,2020-10-30
142.0,244.0,89.0,6.0,205.0,60.0,173.0,919.0,2020-10-29
132.0,523.0,85.0,5.0,221.0,70.0,168.0,1204.0,2020-10-28
121.0,257.0,42.0,3.0,141.0,26.0,267.0,857.0,2020-10-27
94.0,116.0,24.0,0.0,128.0,27.0,279.0,668.0,2020-10-26
93.0,137.0,29.0,4.0,151.0,55.0,0.0,469.0,2020-10-25
94.0,298.0,49.0,7.0,91.0,45.0,0.0,584.0,2020-10-24
55.0,162.0,49.0,3.0,136.0,46.0,231.0,682.0,2020-10-23
62.0,163.0,30.0,3.0,127.0,59.0,155.0,599.0,2020-10-22
52.0,262.0,39.0,13.0,89.0,45.0,156.0,656.0,2020-10-21
52.0,146.0,47.0,0.0,73.0,8.0,218.0,544.0,2020-10-20
31.0,85.0,12.0,3.0,69.0,23.0,217.0,440.0,2020-10-19
23.0,89.0,10.0,8.0,47.0,29.0,0.0,206.0,2020-10-18
36.0,178.0,33.0,3.0,55.0,16.0,0.0,321.0,2020-10-17
35.0,88.0,24.0,3.0,83.0,29.0,222.0,484.0,2020-10-16
41.0,104.0,33.0,5.0,43.0,32.0,140.0,398.0,2020-10-15
34.0,108.0,43.0,3.0,41.0,35.0,209.0,473.0,2020-10-14
36.0,95.0,13.0,1.0,39.0,12.0,80.0,276.0,2020-10-13
26.0,46.0,6.0,5.0,26.0,17.0,195.0,321.0,2020-10-12
22.0,54.0,11.0,0.0,29.0,23.0,0.0,139.0,2020-10-11
19.0,109.0,15.0,4.0,28.0,13.0,0.0,188.0,2020-10-10
20.0,76.0,11.0,1.0,22.0,13.0,241.0,384.0,2020-10-09
20.0,80.0,16.0,5.0,31.0,36.0,126.0,314.0,2020-10-08
18.0,66.0,16.0,1.0,28.0,21.0,76.0,226.0,2020-10-07
14.0,69.0,12.0,0.0,16.0,7.0,261.0,379.0,2020-10-06
14.0,32.0,5.0,0.0,18.0,5.0,139.0,213.0,2020-10-05
15.0,43.0,2.0,9.0,27.0,21.0,0.0,117.0,2020-10-04
11.0,136.0,19.0,-5.0,23.0,9.0,0.0,193.0,2020-10-03
15.0,63.0,8.0,2.0,24.0,13.0,113.0,238.0,2020-10-02
