DATES,ES,PX_BID,PX_ASK,PX_LAST,MATURITY,DAYS_TO_MATURITY,FORECAST,PREMIUM,PX_LAST_EOM,MATURITY_EOM,MATURITY_MONTH,XR,VIX_R
2009-12-01,26.9483,28.5,29.95,29.0,2010-01-20,33.0,26.92196954063904,2.0780304593609635,,,2010-01,-0.13793103448275867,-0.04621371310100286
2009-12-30,24.0577,25.95,27.25,26.5,2010-02-17,32.0,24.43748225355992,2.062517746440083,25.0,2010-01,2010-02,0.007547169811320753,-0.05178472608974094
2010-01-29,26.7238,26.0,26.85,26.4,2010-03-17,32.0,26.56942973370157,-0.1694297337015733,26.7,2010-02,2010-03,-0.06060606060606055,0.004207044199494359
2010-02-26,24.3654,25.45,26.05,25.7,2010-04-21,38.0,24.97673272642143,0.7232672735785677,24.8,2010-03,2010-04,-0.13229571984435795,-0.015651799330188343
2010-03-31,20.5988,23.5,23.65,23.6,2010-05-19,35.0,21.948796064400156,1.651203935599849,22.3,2010-04,2010-05,0.20338983050847448,-0.042587220335027265
2010-04-30,28.89,27.5,27.85,27.7,2010-06-16,32.0,28.085022490167677,-0.3850224901676746,28.4,2010-05,2010-06,0.24187725631768942,0.009100039782343083
2010-05-31,34.3976,32.8,33.6,33.2,2010-07-21,35.0,32.94325654948028,0.2567434505197212,34.4,2010-06,2010-07,0.018072289156626287,-0.004647144249543156
2010-06-30,34.3161,33.8,34.15,33.9,2010-08-18,34.0,31.60020934070509,2.2997906592949064,33.8,2010-07,2010-08,-0.15929203539823,-0.04246259148389109
2010-07-30,27.1611,30.9,31.35,31.1,2010-09-15,32.0,26.87636009618846,4.2236399038115415,28.5,2010-08,2010-09,-0.0337620578778135,-0.09134221178506607
2010-08-31,29.3735,32.55,32.85,32.55,2010-10-20,34.0,28.50084519677049,4.049154803229502,30.05,2010-09,2010-10,-0.1843317972350229,-0.07877454110586346
2010-09-30,26.1124,29.15,29.2,29.15,2010-11-17,32.0,25.888082154996493,3.261917845003506,26.55,2010-10,2010-11,-0.20411663807890223,-0.0749233039249304
2010-10-29,23.3884,25.5,25.55,25.55,2010-12-22,36.0,24.076942847821996,1.4730571521780078,23.2,2010-11,2010-12,0.12720156555772988,-0.03404679349051498
2010-11-30,31.0728,28.95,29.1,29.0,2011-01-19,33.0,29.152674970994006,-0.1526749709940063,28.8,2010-12,2011-01,-0.1775862068965517,0.0033470352461340003
2010-12-30,23.9165,25.05,25.1,25.05,2011-02-16,32.0,24.05300928093694,0.99699071906306,23.85,2011-01,2011-02,-0.07984031936127745,-0.0263006991305631
2011-01-31,22.7339,24.45,24.6,24.45,2011-03-16,31.0,23.327910855427746,1.1220891445722572,23.05,2011-02,2011-03,-0.059304703476482645,-0.03132386164803569
2011-02-28,22.7141,23.5,23.55,23.35,2011-04-20,37.0,23.87675480025028,-0.5267548002502771,23.0,2011-03,2011-04,-0.05567451820128477,0.012742020247656027
2011-03-31,22.08,23.9,23.95,23.85,2011-05-18,34.0,23.260777077735906,0.5892229222640992,22.05,2011-04,2011-05,-0.16352201257861643,-0.015332098355633983
2011-04-29,18.4785,21.5,21.55,21.5,2011-06-15,32.0,20.621556496837805,0.8784435031621953,19.95,2011-05,2011-06,-0.013953488372093092,-0.027004778899764603
2011-05-31,20.353,22.55,22.6,22.45,2011-07-20,35.0,22.258174475914235,0.1918255240857647,21.2,2011-06,2011-07,-0.03786191536748318,-0.005135536334157975
2011-06-30,21.5622,21.75,21.8,22.0,2011-08-17,33.0,23.652912286138253,-1.6529122861382533,21.6,2011-07,2011-08,0.1636363636363638,0.04717974865016683
2011-07-29,27.6238,25.35,25.4,25.35,2011-09-21,37.0,26.76050730688417,-1.4105073068841705,25.6,2011-08,2011-09,0.34516765285996054,0.031210042512852088
2011-08-31,35.6495,32.55,32.75,32.75,2011-10-19,33.0,34.17906444620474,-1.429064446204741,34.1,2011-09,2011-10,0.3526717557251908,0.02755203631680181
2011-09-30,46.6796,42.6,42.7,42.35,2011-11-16,31.0,41.72899014756843,0.6210098524315697,44.3,2011-10,2011-11,-0.19362455726092098,-0.00995715584090151
2011-10-31,35.1198,32.95,33.0,32.75,2011-12-21,35.0,32.67886293894481,0.0711370610551895,34.15,2011-11,2011-12,0.1083969465648853,-0.0013038411503890623
2011-11-30,37.0829,38.5,38.7,38.15,2012-01-18,32.0,34.96393788766475,3.18606211233525,36.3,2011-12,2012-01,-0.1415465268676277,-0.055623753793026975
2011-12-30,32.1544,33.25,33.5,33.4,2012-02-15,31.0,30.46638184011541,2.9336181598845883,32.75,2012-01,2012-02,-0.16916167664670656,-0.0603770076293908
2012-01-31,26.3081,28.6,28.85,28.65,2012-03-21,35.0,26.149764329057668,2.500235670942331,27.75,2012-02,2012-03,-0.1221640488656196,-0.053314137089412905
2012-02-29,23.9289,27.75,27.85,27.7,2012-04-18,35.0,24.62748806120185,3.072511938798147,25.15,2012-03,2012-04,-0.14259927797833938,-0.06811094952019181
2012-03-30,22.5463,25.75,25.95,25.9,2012-05-16,33.0,23.54740307608168,2.352596923918316,23.75,2012-04,2012-05,0.0347490347490349,-0.05879967026263766
2012-04-30,26.9511,27.75,27.9,27.7,2012-06-20,36.0,26.87232386716651,0.8276761328334885,26.8,2012-05,2012-06,0.29422382671480163,-0.017540063757271795
2012-05-31,34.9478,35.6,35.85,35.85,2012-07-18,33.0,32.111951075148404,3.738048924851597,35.85,2012-06,2012-07,-0.2691771269177128,-0.06767458900856904
2012-06-29,24.9463,28.15,28.25,28.25,2012-08-22,37.0,25.90702917903795,2.3429708209620514,26.2,2012-07,2012-08,-0.04778761061946912,-0.0479516955929683
2012-07-31,28.0088,27.75,28.05,28.0,2012-09-19,35.0,27.16089153210012,0.8391084678998801,26.9,2012-08,2012-09,-0.04999999999999993,-0.01809020146742424
