Dates,CURRENT_CONTRACT_MONTH_YR,LAST_PRICE,PX_BID,PX_ASK,PX_LAST,Maturity
2004-12-01,,14.88,14.85,14.9,14.88,2005-01-19
2004-12-02,,14.82,14.8,14.83,14.82,2005-01-19
2004-12-03,,14.81,14.79,14.82,14.81,2005-01-19
2004-12-06,,14.24,14.23,14.25,14.24,2005-01-19
2004-12-07,,14.47,14.42,14.52,14.47,2005-01-19
2004-12-08,,14.3,,,14.3,2005-01-19
2004-12-09,,14.22,14.19,14.25,14.22,2005-01-19
2004-12-10,,14.16,14.1,14.22,14.16,2005-01-19
2004-12-13,,13.87,13.78,13.95,13.87,2005-01-19
2004-12-14,,13.89,13.86,13.92,13.89,2005-01-19
2004-12-15,,13.93,13.89,13.96,13.93,2005-01-19
2004-12-16,,13.77,13.72,13.82,13.77,2005-01-19
2004-12-17,,13.8,13.74,13.85,13.8,2005-01-19
2004-12-20,,13.77,13.72,13.82,13.77,2005-01-19
2004-12-21,,13.5,13.46,13.54,13.5,2005-01-19
2004-12-22,,13.53,13.48,13.57,13.53,2005-01-19
2004-12-23,,13.45,13.4,13.49,13.45,2005-01-19
2004-12-27,,13.47,13.43,13.5,13.47,2005-01-19
2004-12-28,,13.43,13.41,13.44,13.43,2005-01-19
2004-12-29,,13.42,13.4,13.43,13.42,2005-01-19
2004-12-30,,14.81,14.76,14.85,14.81,2005-02-16
2004-12-31,,14.81,14.78,14.84,14.81,2005-02-16
2005-01-03,,14.95,14.88,15.02,14.95,2005-02-16
2005-01-04,,15.23,15.15,15.3,15.23,2005-02-16
2005-01-05,,15.08,15.06,15.1,15.08,2005-02-16
2005-01-06,,14.76,14.72,14.8,14.76,2005-02-16
2005-01-07,,14.66,14.65,14.66,14.66,2005-02-16
2005-01-10,,14.47,14.44,14.5,14.47,2005-02-16
2005-01-11,,14.6,14.55,14.64,14.6,2005-02-16
2005-01-12,,14.16,14.12,14.2,14.16,2005-02-16
2005-01-13,,14.23,14.16,14.3,14.23,2005-02-16
2005-01-14,,14.06,14.02,14.1,14.06,2005-02-16
2005-01-18,,13.62,13.52,13.71,13.62,2005-02-16
2005-01-19,,13.78,13.71,13.85,13.78,2005-02-16
2005-01-20,,13.93,13.85,14.01,13.93,2005-02-16
2005-01-21,,14.22,14.18,14.25,14.22,2005-02-16
2005-01-24,,14.15,14.06,14.24,14.15,2005-02-16
2005-01-25,,14.01,13.98,14.04,14.01,2005-02-16
2005-01-26,,13.71,13.62,13.8,13.71,2005-02-16
2005-01-27,,13.55,13.5,13.6,13.55,2005-02-16
2005-01-28,,14.14,14.1,14.18,14.14,2005-03-16
2005-01-31,,13.91,13.83,13.98,13.91,2005-03-16
2005-02-01,,13.46,13.36,13.56,13.46,2005-03-16
2005-02-02,,12.91,12.81,13.0,12.91,2005-03-16
2005-02-03,,12.68,12.66,12.7,12.68,2005-03-16
2005-02-04,,12.22,12.15,12.28,12.22,2005-03-16
2005-02-07,,12.2,12.14,12.26,12.2,2005-03-16
2005-02-08,,12.31,12.24,12.38,12.31,2005-03-16
2005-02-09,,12.33,12.25,12.41,12.33,2005-03-16
2005-02-10,,12.13,12.05,12.2,12.13,2005-03-16
2005-02-11,,11.82,11.72,11.92,11.82,2005-03-16
2005-02-14,,11.95,11.91,11.99,11.95,2005-03-16
2005-02-15,,11.98,11.95,12.0,11.98,2005-03-16
2005-02-16,,11.93,11.86,12.0,11.93,2005-03-16
2005-02-17,,12.04,11.98,12.1,12.04,2005-03-16
2005-02-18,,12.05,12.01,12.09,12.05,2005-03-16
2005-02-22,,12.5,12.43,12.57,12.5,2005-03-16
2005-02-23,,12.43,12.41,12.45,12.43,2005-03-16
2005-02-24,,12.27,12.17,12.36,12.27,2005-03-16
2005-02-25,,11.23,,,11.23,2005-04-11
2005-02-28,,11.3,,,11.3,2005-04-11
2005-03-01,,11.25,,,11.25,2005-04-11
2005-03-02,,11.21,,,11.21,2005-04-11
2005-03-03,,11.21,,,11.21,2005-04-11
2005-03-04,,11.21,,,11.21,2005-04-11
2005-03-07,,11.25,,,11.25,2005-04-11
2005-03-08,,11.25,,,11.25,2005-04-11
2005-03-09,,11.165,,,11.165,2005-04-11
2005-03-10,,11.11,,,11.11,2005-04-11
2005-03-11,,11.145,,,11.145,2005-04-11
2005-03-14,,11.12,,,11.12,2005-04-11
2005-03-15,,11.14,,,11.14,2005-04-11
2005-03-16,,11.13,,,11.13,2005-04-11
2005-03-17,,11.145,,,11.145,2005-04-11
2005-03-18,,11.18,,,11.18,2005-04-11
2005-03-21,,11.185,,,11.185,2005-04-11
2005-03-22,,11.195,,,11.195,2005-04-11
2005-03-23,,11.135,,,11.135,2005-04-11
2005-03-24,,11.13,,,11.13,2005-04-11
2005-03-28,,11.13,,,11.13,2005-04-11
2005-03-29,,11.105,,,11.105,2005-04-11
2005-03-30,,14.56,14.5,14.61,14.56,2005-05-18
2005-03-31,,14.55,14.5,14.6,14.55,2005-05-18
2005-04-01,,14.78,14.75,14.8,14.78,2005-05-18
2005-04-04,,15.0,14.95,15.05,15.0,2005-05-18
2005-04-05,,14.88,14.78,14.98,14.88,2005-05-18
2005-04-06,,14.35,14.31,14.39,14.35,2005-05-18
2005-04-07,,14.05,14.01,14.08,14.05,2005-05-18
2005-04-08,,14.04,13.94,14.13,14.04,2005-05-18
2005-04-11,,13.95,13.9,14.0,13.95,2005-05-18
2005-04-12,,13.61,13.51,13.7,13.61,2005-05-18
2005-04-13,,14.12,14.04,14.19,14.12,2005-05-18
2005-04-14,,14.93,14.9,14.95,14.93,2005-05-18
2005-04-15,,15.7,15.5,15.7,15.7,2005-05-18
2005-04-18,,15.6,15.5,15.69,15.6,2005-05-18
2005-04-19,,15.01,14.96,15.05,15.01,2005-05-18
2005-04-20,,15.4,15.28,15.51,15.4,2005-05-18
2005-04-21,,14.57,14.53,14.6,14.57,2005-05-18
2005-04-22,,15.03,15.0,15.06,15.03,2005-05-18
2005-04-25,,14.42,14.39,14.45,14.42,2005-05-18
2005-04-26,,14.76,14.72,14.8,14.76,2005-05-18
2005-04-27,,14.78,14.68,14.88,14.78,2005-05-18
2005-04-28,,15.68,15.54,15.82,15.68,2005-06-15
2005-04-29,,15.58,15.48,15.68,15.58,2005-06-15
2005-05-02,,15.11,15.01,15.21,15.11,2005-06-15
2005-05-03,,14.94,14.8,15.08,14.94,2005-06-15
2005-05-04,,14.4,14.3,14.5,14.4,2005-06-15
2005-05-05,,14.17,14.1,14.24,14.17,2005-06-15
2005-05-06,,14.21,14.14,14.27,14.21,2005-06-15
2005-05-09,,14.02,13.98,14.05,14.02,2005-06-15
2005-05-10,,14.57,14.54,14.6,14.57,2005-06-15
2005-05-11,,14.65,14.59,14.71,14.65,2005-06-15
2005-05-12,,15.43,15.29,15.57,15.43,2005-06-15
2005-05-13,,15.76,15.67,15.84,15.76,2005-06-15
2005-05-16,,15.52,15.43,15.6,15.52,2005-06-15
